file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft 5 full code fidelity,0.7620526457155563,0.904610480274618,0.9276563692349433,0.9249283295681434,0.9818115750736375,20,14,78,108,27,36.6842105263158
qft 6 full code fidelity,0.6588856169829876,0.8603841919146966,0.8867871865156691,0.8886435861147077,0.9717858812257844,30,18,118,140,35,47.631578947368475
qft 7 full code fidelity,0.5527110017905768,0.8101573778154735,0.8392731030692049,0.8469758853683546,0.9597417054249888,42,22,166,172,43,58.57894736842115
qft 8 full code fidelity,0.4498291913798973,0.7552531090661903,0.786391514168376,0.8008264083574373,0.9457533948670486,56,26,222,204,51,69.52631578947383
qft 9 full code fidelity,0.3551869609467568,0.6970466008354952,0.7295010968306057,0.7511551214098499,0.9299072180018108,72,30,286,236,59,80.47368421052651
qft 10 full code fidelity,0.2720975622381581,0.6369088258938784,0.6699844104191454,0.6989478686545432,0.9123004760132172,90,34,358,268,67,91.4210526315792
qft 11 full code fidelity,0.2022315660303544,0.5761543988830041,0.6091932225498211,0.6451843777173253,0.8930405041142759,110,38,438,300,75,102.36842105263189
qft 12 full code fidelity,0.14582375979561868,0.515996384293716,0.5483994948939686,0.5908085978922358,0.8722435770478965,132,42,526,332,83,113.31578947368457
qft 13 full code fidelity,0.102014306369099,0.4575100055400053,0.4887543622601732,0.5367025720391536,0.8500337344739924,156,46,622,364,91,124.26315789473726
qft 14 full code fidelity,0.06923818884411219,0.4016064652978159,0.4312567091588406,0.4836647671103932,0.8265415429229106,182,50,726,396,99,135.21052631578996
qft 15 full code fidelity,0.04559114780250894,0.3490173016974103,0.37673216372443347,0.43239347672188105,0.8019028116890875,210,54,838,428,107,146.15789473684268
qft 16 full code fidelity,0.029124866180755275,0.30028896908517405,0.32582256083374433,0.3834755866308949,0.7762572804178176,240,58,958,460,115,157.1052631578954
qft 17 full code fidelity,0.01805071076990575,0.2557867022842223,0.27898523736235625,0.33738068325533227,0.7497472962000307,272,62,1086,492,123,168.0526315789481
qft 18 full code fidelity,0.01085350471122818,0.21570623976979011,0.23650096147234326,0.29446020638879405,0.7225164977399319,306,66,1222,524,131,179.00000000000082
qft 19 full code fidelity,0.006331248720200515,0.18009166573181268,0.19848889581374413,0.25495111561414646,0.6947085236098133,342,70,1366,556,139,189.94736842105354
qft 20 full code fidelity,0.0035830328631446624,0.1488574871309632,0.1649267641837768,0.2189833660018417,0.6664657607731744,380,74,1518,588,147,200.89473684210625
qft 21 full code fidelity,0.001967218502433106,0.12181307688414098,0.13567432772852994,0.18659037743833065,0.6379281484651618,420,78,1678,620,155,211.84210526315897
qft 22 full code fidelity,0.0010478355979049254,0.09868776295209036,0.1104983608640051,0.15772163306933143,0.6092320511968116,462,82,1846,652,163,222.78947368421169
qft 23 full code fidelity,0.000541465484079109,0.07915509187866449,0.08909751893838488,0.1322565509990739,0.580509213129596,506,86,2022,684,171,233.7368421052644
qft 24 full code fidelity,0.0002714462362572241,0.0628551072319092,0.07112577357411168,0.11001883111517294,0.551885804385419,552,90,2206,716,179,244.68421052631712
qft 25 full code fidelity,0.00013201723136478124,0.049413822110038565,0.05621342054619543,0.09079057485369968,0.523481568053018,600,94,2398,748,187,255.63157894736983
qft 26 full code fidelity,6.22887324421075e-05,0.03845939824099911,0.04398500440138737,0.07432559783167365,0.49540907476450635,650,98,2598,780,195,266.57894736842235
qft 27 full code fidelity,2.8511414498535276e-05,0.029634846598205214,0.034073824669237286,0.06036149145650879,0.46777308978571325,702,102,2806,812,203,277.52631578947484
qft 28 full code fidelity,1.266067176057441e-05,0.02260731802731656,0.026132968585455146,0.04863012869834711,0.44067005563058426,756,106,3022,844,211,288.4736842105273
qft 29 full code fidelity,5.454083235211435e-06,0.01707424722777896,0.0198430408231548,0.038866441665141555,0.414187691311138,812,110,3246,876,219,299.4210526315798
qft 30 full code fidelity,2.2793557162752667e-06,0.012766746905164973,0.014916925569894404,0.030815417064261386,0.38840470750593625,870,114,3478,908,227,310.3684210526323
qft 31 full code fidelity,9.241151409706955e-07,0.009450724290688864,0.011102020811130906,0.024237355015339197,0.3633906352041526,930,118,3718,940,235,321.3157894736848
qft 32 full code fidelity,3.6346449735373007e-07,0.0069262170922646735,0.008180434447901015,0.018911514247095886,0.3392057637876932,992,122,3966,972,243,332.2631578947373
qft 33 full code fidelity,1.3868137151298334e-07,0.005025430456791578,0.005967635902294668,0.014638321796742746,0.3159011830749288,1056,126,4222,1004,251,343.21052631578976
qft 34 full code fidelity,5.133254159949032e-08,0.0036099118471168983,0.0043100259473154105,0.011240358989536752,0.29351892258602463,1122,130,4486,1036,259,354.15789473684225
qft 35 full code fidelity,1.843249802327834e-08,0.0025672377333703605,0.0030818327697636444,0.00856235005655399,0.2720921802165682,1190,134,4758,1068,267,365.10526315789474
qft 36 full code fidelity,6.420822854187868e-09,0.0018075142906314782,0.0021816740719853445,0.006470378440561747,0.25164563163298886,1260,138,5038,1100,275,376.0526315789472
qft 37 full code fidelity,2.1697540848585875e-09,0.0012599216922462527,0.001529052120076984,0.004850542247539547,0.23219581103515635,1332,142,5326,1132,283,386.9999999999997
qft 38 full code fidelity,7.112821996594754e-10,0.0008694638471734857,0.0010609778705061867,0.003607238075822969,0.21375155346872515,1406,146,5622,1164,291,397.9473684210522
qft 39 full code fidelity,2.2619511673894358e-10,0.0005940262887104569,0.0007288564131460777,0.0026612350037403193,0.19631448860801853,1482,150,5926,1196,299,408.8947368421047
qft 40 full code fidelity,6.978026631486211e-11,0.0004017963279080584,0.0004957117927726742,0.0019476708019254892,0.179879575861177,1560,154,6238,1228,307,419.8421052631572
qft 41 full code fidelity,2.088278333610699e-11,0.00026906203525670747,0.0003337860171417196,0.0014140728566247648,0.16443567076100063,1640,158,6558,1260,315,430.78947368420967
qft 42 full code fidelity,6.06245807832934e-12,0.00017837954184635497,0.00022251466845776976,0.001018478637432198,0.1499661128823416,1722,162,6886,1292,323,441.73684210526216
qft 43 full code fidelity,1.7073083271371948e-12,0.00011708030005530386,0.0001468590684486889,0.000727706020629717,0.13644932595250078,1806,166,7222,1324,331,452.68421052631464
qft 44 full code fidelity,4.664190129898518e-13,7.607969640955469e-05,9.596094365866827e-05,0.0005158030641829673,0.1238594213753982,1892,170,7566,1356,339,463.63157894736713
qft 45 full code fidelity,1.2360608098529769e-13,4.894404698322984e-05,6.207830759629702e-05,0.0003626901602134084,0.11216679705252111,1980,174,7918,1388,347,474.5789473684196
qft 46 full code fidelity,3.177612643626686e-14,3.1172895498583746e-05,3.975912740609186e-05,0.00025299476493572466,0.10133872413231786,2070,178,8278,1420,355,485.5263157894721
qft 47 full code fidelity,7.92424355905827e-15,1.9656245706305155e-05,2.5210730952444772e-05,0.00017506978638955496,0.0913399151331539,2162,182,8646,1452,363,496.4736842105246
qft 48 full code fidelity,1.9169404866455665e-15,1.2270723280461195e-05,1.5826527925645854e-05,0.00012018071260555885,0.08213306774190438,2256,186,9022,1484,371,507.4210526315771
qft 49 full code fidelity,4.498333017370781e-16,7.583783282980867e-06,9.83642934050742e-06,8.184313442024312e-05,0.07367937947030749,2352,190,9406,1516,379,518.3684210526292
qft 50 full code fidelity,1.0239645853630421e-16,4.640318890515293e-06,6.052585347905994e-06,5.529089731770165e-05,0.0659390292351907,2450,194,9798,1548,387,529.315789473681
